strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/ENGLAND/530/2014		A	H3N2	2014		virus_and_reference	11	33
A/ENGLAND/538/2018		A	H3N2	2018		virus_and_reference	502	1283
A/ENGLAND/878/1969		A	H3N2	1969		virus_and_reference	5	6
A/FINLAND/170/2003		A	H3N2	2003		virus_and_reference	130	428
A/FINLAND/183/2020		A	H3N2	2020		virus_and_reference	75	88
A/FINLAND/190/2011		A	H3N2	2011		virus_and_reference	166	468
A/FINLAND/440/2014		A	H3N2	2014		virus_and_reference	24	17
A/FINLAND/440/2014#CLONE55		A	H3N2			virus_and_reference	14	17
A/FINLAND/486/2004		A	H3N2	2004		virus_and_reference	302	1028
A/FINLAND/620/1999		A	H3N2	1999		virus_and_reference	212	928
A/FINLAND/9/2008		A	H3N2	2008		virus_and_reference	559	1471
A/FUJIAN/140/2000		A	H3N2	2000		virus_and_reference	7	14
A/FUJIAN/411/2002		A	H3N2	2002		virus_and_reference	356	1639
A/FUJIAN/47/1996		A	H3N2	1996		virus_and_reference	7	10
A/GAROKA/8/1990		A	H3N2	1990		virus_and_reference	13	21
A/GENOVA/9/1993		A	H3N2	1993		virus_and_reference	82	27
A/GENOVA/9/1996		A	H3N2	1996		virus_and_reference	97	599
A/GEORGIA/532/2015		A	H3N2	2015		virus_and_reference	455	806
A/GLASGOW/407664/2012		A	H3N2	2012		virus_and_reference	34	47
A/GREECE/4/2017		A	H3N2	2017		virus_and_reference	15	505
A/GUADELOUPE/202/2010		A	H3N2	2010		virus_and_reference	29	41
A/GUANDONG/25/1993		A	H3N2	1993		virus_and_reference	32	190
A/GUANGDONG/25/1993		A	H3N2	1993		virus_and_reference	80	728
A/GUIZHOU/54/1989		A	H3N2	1989		virus_and_reference	81	982
A/HAWAII/22/2012		A	H3N2	2012		virus_and_reference	429	940
A/HENAN/JINSHUI/147/2007		A	H3N2	2007		virus_and_reference	188	300
A/HIROSHIMA/33/2006		A	H3N2	2006		virus_and_reference	49	112
A/HIROSHIMA/52/2005		A	H3N2	2005		virus_and_reference	295	965
A/HIROSHIMA/52/2005@IVR142		A	H3N2			virus_and_reference	7	8
A/HONG/KONG/34/1990		A	H3N2	1990		virus_and_reference	29	27
A/HONGKONG/1/1994		A	H3N2	1994		virus_and_reference	15	10
A/HONGKONG/146/2013		A	H3N2	2013		virus_and_reference	1679	3682
A/HONGKONG/1550/2002		A	H3N2	2002		virus_and_reference	197	754
A/HONGKONG/156/1997		A	H3N2	1997		virus_and_reference	6	15
A/HONGKONG/1774/1999		A	H3N2	1999		virus_and_reference	56	35
A/HONGKONG/1952/2009		A	H3N2	2009		virus_and_reference	176	528
A/HONGKONG/1985/2009		A	H3N2	2009		virus_and_reference	211	615
A/HONGKONG/23/1992		A	H3N2	1992		virus_and_reference	79	862
A/HONGKONG/25/1990		A	H3N2	1990		virus_and_reference	122	1110
A/HONGKONG/26560/2009		A	H3N2	2009		virus_and_reference	11	47
A/HONGKONG/2669/2019		A	H3N2	2019		virus_and_reference	54	131
A/HONGKONG/2671/2019		A	H3N2	2019		virus_and_reference	474	969
A/HONGKONG/34/1990		A	H3N2	1990		virus_and_reference	141	1512
A/HONGKONG/34430/2009		A	H3N2	2009		virus_and_reference	65	104
A/HONGKONG/391/1997		A	H3N2	1997		virus_and_reference	192	510
A/HONGKONG/3969/2011		A	H3N2	2011		virus_and_reference	467	1361
A/HONGKONG/4244/2014		A	H3N2	2014		virus_and_reference	33	26
A/HONGKONG/4355/2005		A	H3N2	2005		virus_and_reference	47	61
A/HONGKONG/4443/2005		A	H3N2	2005		virus_and_reference	442	1344
A/HONGKONG/45/2019		A	H3N2	2019		virus_and_reference	22	36
A/HONGKONG/4801/2014		A	H3N2	2014		virus_and_reference	1265	2229
A/HONGKONG/4801/2014#ISOLATE1		A	H3N2			virus_and_reference	262	449
A/HONGKONG/4801/2014@X263B		A	H3N2			virus_and_reference	66	51
A/HONGKONG/485/1997		A	H3N2	1997		virus_and_reference	14	26
A/HONGKONG/5738/2014		A	H3N2	2014		virus_and_reference	1986	3835
A/HONGKONG/5738/2014#CLONE121		A	H3N2			virus_and_reference	560	1012
A/HONGKONG/656/2018		A	H3N2	2018		virus_and_reference	113	141
A/HONGKONG/674/2018#CLONE33		A	H3N2			virus_and_reference	10	44
A/HONGKONG/675/2018		A	H3N2	2018		virus_and_reference	8	9
A/HONGKONG/681/2018		A	H3N2	2018		virus_and_reference	12	8
A/HONGKONG/681/2018@NYMCX329A		A	H3N2			virus_and_reference	7	8
A/HONGKONG/7127/2014		A	H3N2	2014		virus_and_reference	87	122
A/HONGKONG/7127/2014@NIB93		A	H3N2			virus_and_reference	11	30
A/HONGKONG/7127/2014@X261		A	H3N2			virus_and_reference	69	84
A/HONGKONG/7278/2014#CLONE82		A	H3N2			virus_and_reference	21	23
A/HONGKONG/734/2001		A	H3N2	2001		virus_and_reference	169	645
A/HUNGARY/64/2020		A	H3N2	2020		virus_and_reference	23	16
A/IOWA/19/2010		A	H3N2	2010		virus_and_reference	1276	3562
A/IRELAND/10586/1999		A	H3N2	1999		virus_and_reference	332	920
A/JOHANNESBURG/1147/1996		A	H3N2	1996		virus_and_reference	42	160
A/JOHANNESBURG/15/1998		A	H3N2	1998		virus_and_reference	11	41
A/JOHANNESBURG/15/2008		A	H3N2	2008		virus_and_reference	496	1495
A/JOHANNESBURG/29/1998		A	H3N2	1998		virus_and_reference	218	862
A/JOHANNESBURG/3/1998		A	H3N2	1998		virus_and_reference	11	41
A/JOHANNESBURG/31/2000		A	H3N2	2000		virus_and_reference	281	582
A/JOHANNESBURG/33/1994		A	H3N2	1994		virus_and_reference	750	3413
A/JOHANNESBURG/59/1996		A	H3N2	1996		virus_and_reference	15	20
A/JOHANNESBURG/9/1997		A	H3N2	1997		virus_and_reference	23	40
A/KANSAS/14/2017		A	H3N2	2017		virus_and_reference	496	1168
A/KANSAS/14/2017@NYMCX327		A	H3N2			virus_and_reference	413	1005
A/KARDITSA/186/2000		A	H3N2	2000		virus_and_reference	102	217
A/KUMAMOTO/102/2002		A	H3N2	2002		virus_and_reference	199	987
A/LARIOJA/2202/2018		A	H3N2	2018		virus_and_reference	8	1260
A/LYON/248/1998		A	H3N2	1998		virus_and_reference	10	7
A/LYON/636/2006		A	H3N2	2006		virus_and_reference	203	657
A/MALAYSIA/1/2004		A	H3N2	2004		virus_and_reference	24	43
A/MARYLAND/2/2012		A	H3N2	2012		virus_and_reference	15	24
A/MISSISSIPPI/1/1985		A	H3N2	1985		virus_and_reference	24	40
