strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/GAMBIA/G0063940/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0064536/2012		A	H3N2	2012		virus_only	6	0
A/GAMBIA/G0065236/2012		A	H3N2	2012		virus_only	3	0
A/GAMBIA/G0065240/2012		A	H3N2	2012		virus_only	6	0
A/GAMBIA/G0065536/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0065540/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0065636/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0065640/2012		A	H3N2	2012		virus_only	5	0
A/GAMBIA/G0065736/2012		A	H3N2	2012		virus_only	5	0
A/GAMBIA/G0065740/2012		A	H3N2	2012		virus_only	9	0
A/GAMBIA/G0067136/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0067140/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0069436/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0069636/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0069640/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0070336/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0071436/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0074336/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0074340/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0074836/2012		A	H3N2	2012		virus_only	10	0
A/GAMBIA/G0075736/2012		A	H3N2	2012		virus_only	10	0
A/GAROUA/19V1937/2019		A	H3N2	2019		virus_only	10	0
A/GAZIANTEP/1950/2016		A	H3N2	2016		virus_only	12	0
A/GELSENKIRCHEN		A	H3N2			virus_only	6	0
A/GELSENKIRCHEN/1/1990		A	H3N2	1990		virus_only	7	0
A/GELSENKIRCHEN/1/1991		A	H3N2	1991		virus_only	7	0
A/GELSENKIRCHEN/1/1993		A	H3N2	1993		virus_only	7	0
A/GELSENKIRCHEN/11/1996		A	H3N2	1996		virus_only	6	0
A/GELSENKIRCHEN/2/1990		A	H3N2	1990		virus_only	7	0
A/GELSENKIRCHEN/2/1991		A	H3N2	1991		virus_only	7	0
A/GELSENKIRCHEN/3/1990		A	H3N2	1990		virus_only	7	0
A/GELSENKIRCHEN/3/1991		A	H3N2	1991		virus_only	7	0
A/GELSENKIRCHEN/4/1990		A	H3N2	1990		virus_only	7	0
A/GELSENKIRCHEN/5/1990		A	H3N2	1990		virus_only	7	0
A/GENEVA/0048/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/1459920/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1474833/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1479911/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1479985/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1482515/2009		A	H3N2	2009		virus_only	9	0
A/GENEVA/1491091/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1498578/2009		A	H3N2	2009		virus_only	9	0
A/GENEVA/1505267/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1514466/2009		A	H3N2	2009		virus_only	9	0
A/GENEVA/1514470/2009		A	H3N2	2009		virus_only	9	0
A/GENEVA/1514818/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1528968/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1539347/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1545836/2009		A	H3N2	2009		virus_only	9	0
A/GENEVA/1570509/2009		A	H3N2	2009		virus_only	18	0
A/GENEVA/1638475/2009		A	H3N2	2009		virus_only	9	0
A/GENEVA/1639437/2009		A	H3N2	2009		virus_only	9	0
A/GENEVA/1830496/2009		A	H3N2	2009		virus_only	6	0
A/GENEVA/1830516/2009		A	H3N2	2009		virus_only	6	0
A/GENEVA/1830525/2009		A	H3N2	2009		virus_only	6	0
A/GENEVA/1981780/2009		A	H3N2	2009		virus_only	6	0
A/GENEVA/2022116/2009		A	H3N2	2009		virus_only	6	0
A/GENEVA/2023898/2009		A	H3N2	2009		virus_only	6	0
A/GENEVA/2029658/2009		A	H3N2	2009		virus_only	6	0
A/GENEVA/2059660/2009		A	H3N2	2009		virus_only	6	0
A/GENEVA/2059933/2009		A	H3N2	2009		virus_only	6	0
A/GENEVA/3061/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3125/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3129/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3162/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3168/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3170/2008		A	H3N2	2008		virus_only	9	0
A/GENEVA/3314/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/3340/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/3343/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3390/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3398/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3399/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3590/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/3701/2003		A	H3N2	2003		virus_only	5	0
A/GENEVA/3767/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/3819/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/3881/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/3882/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4057/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4094/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4096/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4149722/2010		A	H3N2	2010		virus_only	18	0
A/GENEVA/4166/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4439/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4620/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4621/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4831/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4841/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4904/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/4935/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/5059/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/5060/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/5331/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5361/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5687/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5741/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5742/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5743/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5744/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5748/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5785/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5786/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5787/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/5788/2003		A	H3N2	2003		virus_only	7	0
A/GENEVA/6053/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/6577/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/6907/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7022/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7023/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7114/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7124/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7136/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7193/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7212/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7214/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7320/2005		A	H3N2	2005		virus_only	6	0
A/GENEVA/7389/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7392/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7446/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7488/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7489/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/7500/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/8019/2008		A	H3N2	2008		virus_only	9	0
A/GENEVA/8097/2005		A	H3N2	2005		virus_only	6	0
A/GENEVA/8151/2003		A	H3N2	2003		virus_only	6	0
A/GENEVA/8165/2005		A	H3N2	2005		virus_only	6	0
A/GENEVA/8379/2005		A	H3N2	2005		virus_only	6	0
A/GENEVA/8417/2008		A	H3N2	2008		virus_only	9	0
A/GENEVA/8428/2008		A	H3N2	2008		virus_only	9	0
A/GENEVA/9360/2003		A	H3N2	2003		virus_only	8	0
A/GENEVA/9674/2008		A	H3N2	2008		virus_only	9	0
A/GENEVA/9947/2003		A	H3N2	2003		virus_only	7	0
A/GENEVE/07/8582		A	H3N2			virus_only	6	0
A/GENOVA/01/2002		A	H3N2	2002		virus_only	6	0
A/GENOVA/01/2010		A	H3N2	2010		virus_only	8	0
A/GENOVA/02/2002		A	H3N2	2002		virus_only	6	0
A/GENOVA/02/2009		A	H3N2	2009		virus_only	8	0
A/GENOVA/04/2012		A	H3N2	2012		virus_only	9	0
A/GENOVA/05/2012		A	H3N2	2012		virus_only	10	0
A/GENOVA/09/2009		A	H3N2	2009		virus_only	6	0
A/GENOVA/09/2014		A	H3N2	2014		virus_only	10	0
A/GENOVA/1/1995		A	H3N2	1995		virus_only	6	0
A/GENOVA/1/1996		A	H3N2	1996		virus_only	5	0
A/GENOVA/1/2004		A	H3N2	2004		virus_only	6	0
A/GENOVA/10/1998		A	H3N2	1998		virus_only	6	0
A/GENOVA/10/2009		A	H3N2	2009		virus_only	6	0
A/GENOVA/103/2000		A	H3N2	2000		virus_only	6	0
A/GENOVA/11/1991		A	H3N2	1991		virus_only	7	0
A/GENOVA/11/1995		A	H3N2	1995		virus_only	12	0
A/GENOVA/11/1998		A	H3N2	1998		virus_only	6	0
A/GENOVA/112/2000		A	H3N2	2000		virus_only	6	0
A/GENOVA/12/1991		A	H3N2	1991		virus_only	7	0
A/GENOVA/12/1997		A	H3N2	1997		virus_only	5	0
A/GENOVA/12/2005		A	H3N2	2005		virus_only	9	0
A/GENOVA/120/2000		A	H3N2	2000		virus_only	6	0
A/GENOVA/13/1995		A	H3N2	1995		virus_only	12	0
A/GENOVA/13/1997		A	H3N2	1997		virus_only	5	0
A/GENOVA/14/1995		A	H3N2	1995		virus_only	12	0
A/GENOVA/14/1997		A	H3N2	1997		virus_only	5	0
A/GENOVA/15/1995		A	H3N2	1995		virus_only	6	0
A/GENOVA/15/1997		A	H3N2	1997		virus_only	5	0
A/GENOVA/16/1991		A	H3N2	1991		virus_only	7	0
A/GENOVA/16/1995		A	H3N2	1995		virus_only	6	0
A/GENOVA/16/1997		A	H3N2	1997		virus_only	5	0
A/GENOVA/1614/2014		A	H3N2	2014		virus_only	10	0
A/GENOVA/17/1995		A	H3N2	1995		virus_only	12	0
A/GENOVA/18/1995		A	H3N2	1995		virus_only	12	0
A/GENOVA/18/1997		A	H3N2	1997		virus_only	5	0
A/GENOVA/2/2004		A	H3N2	2004		virus_only	6	0
A/GENOVA/20/1997		A	H3N2	1997		virus_only	5	0
A/GENOVA/21/2004		A	H3N2	2004		virus_only	6	0
A/GENOVA/2159/2003		A	H3N2	2003		virus_only	7	0
A/GENOVA/2161/2003		A	H3N2	2003		virus_only	7	0
A/GENOVA/2162/2003		A	H3N2	2003		virus_only	7	0
A/GENOVA/22/1998#ORIGINAL		A	H3N2			virus_only	6	0
A/GENOVA/24/1998		A	H3N2	1998		virus_only	5	0
A/GENOVA/25/1998#ORIGINAL		A	H3N2			virus_only	6	0
A/GENOVA/29/1998		A	H3N2	1998		virus_only	5	0
A/GENOVA/3/2002		A	H3N2	2002		virus_only	6	0
A/GENOVA/3/2004		A	H3N2	2004		virus_only	6	0
A/GENOVA/30/1998		A	H3N2	1998		virus_only	5	0
A/GENOVA/31/1998		A	H3N2	1998		virus_only	5	0
A/GENOVA/328/2002		A	H3N2	2002		virus_only	6	0
A/GENOVA/33/1998		A	H3N2	1998		virus_only	5	0
A/GENOVA/33/2005		A	H3N2	2005		virus_only	9	0
A/GENOVA/333/2002		A	H3N2	2002		virus_only	6	0
A/GENOVA/34/1998		A	H3N2	1998		virus_only	5	0
A/GENOVA/35/2004		A	H3N2	2004		virus_only	6	0
A/GENOVA/360/2002		A	H3N2	2002		virus_only	6	0
A/GENOVA/369/2002		A	H3N2	2002		virus_only	6	0
A/GENOVA/38/1999		A	H3N2	1999		virus_only	6	0
A/GENOVA/4/2002		A	H3N2	2002		virus_only	5	0
A/GENOVA/5/1998		A	H3N2	1998		virus_only	10	0
A/GENOVA/507/2002		A	H3N2	2002		virus_only	6	0
A/GENOVA/52/2000		A	H3N2	2000		virus_only	6	0
A/GENOVA/54/2004		A	H3N2	2004		virus_only	8	0
A/GENOVA/546/2003		A	H3N2	2003		virus_only	6	0
A/GENOVA/55/2004		A	H3N2	2004		virus_only	8	0
A/GENOVA/56/2004		A	H3N2	2004		virus_only	8	0
A/GENOVA/59/1999		A	H3N2	1999		virus_only	6	0
A/GENOVA/59/2005		A	H3N2	2005		virus_only	9	0
A/GENOVA/61/2005		A	H3N2	2005		virus_only	9	0
A/GENOVA/62/2005		A	H3N2	2005		virus_only	9	0
A/GENOVA/67/1999		A	H3N2	1999		virus_only	6	0
A/GENOVA/68/1999		A	H3N2	1999		virus_only	6	0
A/GENOVA/683/2003		A	H3N2	2003		virus_only	6	0
A/GENOVA/689/2003		A	H3N2	2003		virus_only	6	0
A/GENOVA/7/1991		A	H3N2	1991		virus_only	7	0
A/GENOVA/7/1995		A	H3N2	1995		virus_only	12	0
A/GENOVA/7/1998		A	H3N2	1998		virus_only	10	0
A/GENOVA/7/2005		A	H3N2	2005		virus_only	8	0
A/GENOVA/711/2003		A	H3N2	2003		virus_only	6	0
A/GENOVA/712/2003		A	H3N2	2003		virus_only	6	0
A/GENOVA/72/2000		A	H3N2	2000		virus_only	6	0
A/GENOVA/73/2000		A	H3N2	2000		virus_only	6	0
A/GENOVA/74/2000		A	H3N2	2000		virus_only	6	0
A/GENOVA/8/1998		A	H3N2	1998		virus_only	10	0
A/GENOVA/821/2003		A	H3N2	2003		virus_only	6	0
A/GENOVA/888/2003		A	H3N2	2003		virus_only	6	0
A/GENOVA/890/2003		A	H3N2	2003		virus_only	6	0
A/GENOVA/897/2003		A	H3N2	2003		virus_only	6	0
A/GENOVA/9/1991		A	H3N2	1991		virus_only	7	0
A/GENOVA/GE10/1998		A	H3N2	1998		virus_only	5	0
A/GENOVA/GE11/1998		A	H3N2	1998		virus_only	5	0
A/GEORGIA/100/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/1041/2016		A	H3N2	2016		virus_only	14	0
A/GEORGIA/108/2014		A	H3N2	2014		virus_only	10	0
A/GEORGIA/117/2014		A	H3N2	2014		virus_only	10	0
A/GEORGIA/118224G/2009		A	H3N2	2009		virus_only	7	0
A/GEORGIA/118325G/2009		A	H3N2	2009		virus_only	7	0
A/GEORGIA/118826G/2009		A	H3N2	2009		virus_only	7	0
A/GEORGIA/123330G/2009		A	H3N2	2009		virus_only	7	0
A/GEORGIA/125/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/125232G/2009		A	H3N2	2009		virus_only	7	0
A/GEORGIA/125433G/2009		A	H3N2	2009		virus_only	7	0
A/GEORGIA/126635G/2009		A	H3N2	2009		virus_only	7	0
A/GEORGIA/13/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/130237G/2009		A	H3N2	2009		virus_only	7	0
A/GEORGIA/134/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/135/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/139/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/15/2010		A	H3N2	2010		virus_only	8	0
A/GEORGIA/161/2012		A	H3N2	2012		virus_only	10	0
A/GEORGIA/17/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/175/2014		A	H3N2	2014		virus_only	10	0
A/GEORGIA/18/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/1819/2016		A	H3N2	2016		virus_only	12	0
A/GEORGIA/19532@PL20		A	H3N2			virus_only	11	0
A/GEORGIA/21/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/215/2012		A	H3N2	2012		virus_only	10	0
A/GEORGIA/215/2014		A	H3N2	2014		virus_only	10	0
A/GEORGIA/22/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/231/2014		A	H3N2	2014		virus_only	10	0
A/GEORGIA/24/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/241/2014		A	H3N2	2014		virus_only	10	0
A/GEORGIA/25/2007		A	H3N2	2007		virus_only	10	0
A/GEORGIA/255/2012		A	H3N2	2012		virus_only	10	0
A/GEORGIA/26/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/29/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/3/1993		A	H3N2	1993		virus_only	6	0
A/GEORGIA/30/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/301/2012		A	H3N2	2012		virus_only	10	0
A/GEORGIA/32/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/328/2014		A	H3N2	2014		virus_only	10	0
A/GEORGIA/33/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/34/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/35/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/36/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/37/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/370/2012		A	H3N2	2012		virus_only	10	0
A/GEORGIA/40/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/40/2012		A	H3N2	2012		virus_only	10	0
A/GEORGIA/41/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/42/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/43/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/495/2014		A	H3N2	2014		virus_only	18	0
A/GEORGIA/512/2012		A	H3N2	2012		virus_only	10	0
A/GEORGIA/52/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/532/2015#PLAQUE20		A	H3N2			virus_only	107	0
A/GEORGIA/542/2014		A	H3N2	2014		virus_only	18	0
A/GEORGIA/55/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/554/2012		A	H3N2	2012		virus_only	10	0
A/GEORGIA/579/2012		A	H3N2	2012		virus_only	10	0
A/GEORGIA/584/2014		A	H3N2	2014		virus_only	17	0
A/GEORGIA/59/2007		A	H3N2	2007		virus_only	10	0
A/GEORGIA/60/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/61/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/61/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/62/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/658/2019		A	H3N2	2019		virus_only	9	0
A/GEORGIA/66/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/699/2014		A	H3N2	2014		virus_only	18	0
A/GEORGIA/72/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/74/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/76/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/76/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/76/2014		A	H3N2	2014		virus_only	10	0
A/GEORGIA/80/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/864/2016		A	H3N2	2016		virus_only	14	0
A/GEORGIA/88/2007		A	H3N2	2007		virus_only	20	0
A/GEORGIA/90/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/91/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/92/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/94/2006		A	H3N2	2006		virus_only	9	0
A/GEORGIA/96/2006		A	H3N2	2006		virus_only	9	0
A/GERONA/172/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/201/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/204/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/232/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/234/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/240/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/266/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/317/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/319/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/367/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/368/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/430/2002		A	H3N2	2002		virus_only	6	0
A/GERONA/445/2002		A	H3N2	2002		virus_only	6	0
A/GHANA/1041/2019		A	H3N2	2019		virus_only	10	0
A/GHANA/1050/2019		A	H3N2	2019		virus_only	10	0
A/GHANA/11/2008		A	H3N2	2008		virus_only	10	0
A/GHANA/154/2019		A	H3N2	2019		virus_only	10	0
A/GHANA/1782/2017		A	H3N2	2017		virus_only	9	0
A/GHANA/1841/2017		A	H3N2	2017		virus_only	9	0
A/GHANA/2717/2017		A	H3N2	2017		virus_only	10	0
A/GHANA/312/2019		A	H3N2	2019		virus_only	10	0
A/GHANA/3361/2019		A	H3N2	2019		virus_only	9	0
A/GHANA/3532/2019		A	H3N2	2019		virus_only	9	0
A/GHANA/731/2011		A	H3N2	2011		virus_only	8	0
A/GHANA/758/2018		A	H3N2	2018		virus_only	8	0
A/GHANA/DARI0063/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DARI0085/2014		A	H3N2	2014		virus_only	9	0
A/GHANA/DARI0098/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DARI0101/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DARI0104/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DARI13111/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/DARI150261/2015		A	H3N2	2015		virus_only	12	0
A/GHANA/DILI0311/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0314/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0319/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0321/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0405/2012		A	H3N2	2012		virus_only	11	0
A/GHANA/DILI0428/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DILI0436/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0441/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DILI0443/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0464/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0465/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0467/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0470/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI0476/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DILI0479/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DILI0482/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DILI0483/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DILI0512/2014		A	H3N2	2014		virus_only	9	0
A/GHANA/DILI0522/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DILI0657/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DILI0658/2014		A	H3N2	2014		virus_only	20	0
A/GHANA/DILI0659/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/DILI13619/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/DILI13620/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/DILI13694/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/DILI13701/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/DILI13702/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/DILI13704/2013		A	H3N2	2013		virus_only	12	0
A/GHANA/DILI13726/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/DILI13775/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/DILI140657/2014		A	H3N2	2014		virus_only	11	0
A/GHANA/DILI140658/2014		A	H3N2	2014		virus_only	11	0
A/GHANA/DILI140659/2014		A	H3N2	2014		virus_only	11	0
A/GHANA/DILI141010/2014		A	H3N2	2014		virus_only	11	0
A/GHANA/DILI141014/2014		A	H3N2	2014		virus_only	21	0
A/GHANA/DILI141152/2014		A	H3N2	2014		virus_only	11	0
A/GHANA/DILI150233/2015		A	H3N2	2015		virus_only	11	0
A/GHANA/DILI495/2013		A	H3N2	2013		virus_only	11	0
A/GHANA/DILI498/2013		A	H3N2	2013		virus_only	11	0
A/GHANA/DILI505/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI515/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI516/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/DILI518/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/FS0373/2013		A	H3N2	2013		virus_only	10	0
A/GHANA/FS0460/2014		A	H3N2	2014		virus_only	9	0
A/GHANA/FS0513/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/FS0514/2014		A	H3N2	2014		virus_only	18	0
A/GHANA/FS091110/2009		A	H3N2	2009		virus_only	11	0
A/GHANA/FS091212/2009		A	H3N2	2009		virus_only	11	0
A/GHANA/FS091231/2009		A	H3N2	2009		virus_only	11	0
A/GHANA/FS091238/2009		A	H3N2	2009		virus_only	11	0
A/GHANA/FS091267/2009		A	H3N2	2009		virus_only	11	0
A/GHANA/FS09879/2009		A	H3N2	2009		virus_only	11	0
A/GHANA/FS1031/2009		A	H3N2	2009		virus_only	7	0
A/GHANA/FS1032/2009		A	H3N2	2009		virus_only	7	0
A/GHANA/FS1034/2009		A	H3N2	2009		virus_only	7	0
A/GHANA/FS1035/2009		A	H3N2	2009		virus_only	7	0
A/GHANA/FS104722/2010		A	H3N2	2010		virus_only	8	0
A/GHANA/FS104723/2010		A	H3N2	2010		virus_only	8	0
A/GHANA/FS104745/2010		A	H3N2	2010		virus_only	8	0
A/GHANA/FS11041/2011		A	H3N2	2011		virus_only	8	0
A/GHANA/FS1110/2009		A	H3N2	2009		virus_only	6	0
A/GHANA/FS111014/2011		A	H3N2	2011		virus_only	8	0
A/GHANA/FS111037/2011		A	H3N2	2011		virus_only	8	0
A/GHANA/FS111045/2011		A	H3N2	2011		virus_only	8	0
A/GHANA/FS1111/2009		A	H3N2	2009		virus_only	6	0
A/GHANA/FS11132/2011		A	H3N2	2011		virus_only	8	0
A/GHANA/FS111981/2011		A	H3N2	2011		virus_only	7	0
A/GHANA/FS1159/2009		A	H3N2	2009		virus_only	6	0
A/GHANA/FS11591/2011		A	H3N2	2011		virus_only	8	0
A/GHANA/FS11648/2011		A	H3N2	2011		virus_only	8	0
A/GHANA/FS11687/2011		A	H3N2	2011		virus_only	8	0
A/GHANA/FS120677/2012		A	H3N2	2012		virus_only	10	0
A/GHANA/FS131065/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/FS13951/2013		A	H3N2	2013		virus_only	13	0
A/GHANA/FS150185/2015		A	H3N2	2015		virus_only	11	0
A/GHANA/FS1502/2009		A	H3N2	2009		virus_only	11	0
A/GHANA/FS1551/2009		A	H3N2	2009		virus_only	11	0
A/GHANA/FS1589/2009		A	H3N2	2009		virus_only	11	0
