query_strain	Isolate_Name	Isolate_Id	Collection_Date	Location	Host	metadata_file
A/UTAH/12/2011	A/Utah/12/2011	EPI_ISL_100450	2011-11-06	North America / United States / Utah	Human	gisaid_meta_2011-2014.xls
A/VALJEVO/2029/2014	A/Valjevo/2029/2014	EPI_ISL_165587	2014-03-13	Europe / Serbia	Human	gisaid_meta_2011-2014.xls
A/VALLADOLID/118/2013	A/Valladolid/118/2013	EPI_ISL_143577	2013-04-02	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/VALLADOLID/13/2019	A/Valladolid/13/2019	EPI_ISL_355121	2019-01-09	Europe / Spain	Human	gisaid_meta_2019.xls
A/VALLADOLID/17/2019	A/Valladolid/17/2019	EPI_ISL_355122	2019-01-12	Europe / Spain	Human	gisaid_meta_2019.xls
A/VALLADOLID/18/2019	A/Valladolid/18/2019	EPI_ISL_355123	2019-01-12	Europe / Spain	Human	gisaid_meta_2019.xls
A/VALLADOLID/2/2019	A/Valladolid/2/2019	EPI_ISL_355124	2019-01-02	Europe / Spain	Human	gisaid_meta_2019.xls
A/VALLADOLID/205/2015	A/Valladolid/205/2015	EPI_ISL_190940	2015-02-06	Europe / Spain	Human	gisaid_meta_2015-2016.xls
A/VALLADOLID/24/2019	A/Valladolid/24/2019	EPI_ISL_355125	2019-01-14	Europe / Spain	Human	gisaid_meta_2019.xls
A/VALLADOLID/25/2019	A/Valladolid/25/2019	EPI_ISL_355126	2019-01-14	Europe / Spain	Human	gisaid_meta_2019.xls
A/VALLADOLID/26/2019	A/Valladolid/26/2019	EPI_ISL_355127	2019-01-14	Europe / Spain	Human	gisaid_meta_2019.xls
A/VALLADOLID/290/2016	A/Valladolid/290/2016	EPI_ISL_242813	2016-12-03	Europe / Spain	Human	gisaid_meta_2015-2016.xls
A/VALLADOLID/560/2018	A/Valladolid/560/2018	EPI_ISL_355128	2018-12-27	Europe / Spain	Human	gisaid_meta_2018.xls
A/VALLADOLID/9/2019	A/Valladolid/9/2019	EPI_ISL_355129	2019-01-08	Europe / Spain	Human	gisaid_meta_2019.xls
A/VALLADOLID/98/2013	A/Valladolid/98/2013	EPI_ISL_143579	2013-03-18	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/1/1999	A/Victoria/1/1999	EPI_ISL_3692569	1999-02-25	Oceania / Australia / Victoria / Box Hill	Human	gisaid_meta_2010.xls
A/VICTORIA/116/2002	A/Victoria/116/2002	EPI_ISL_6314574	2002-01-12	Oceania / Australia / Victoria / Bentleigh	Human	gisaid_meta_2010.xls
A/VICTORIA/116/2002	A/Victoria/116/2002	EPI_ISL_6314575	2002-01-12	Oceania / Australia / Victoria / Bentleigh	Human	gisaid_meta_2010.xls
A/VICTORIA/116/2002	A/VICTORIA/116/2002	EPI_ISL_67695	2002	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/2/1999	A/Victoria/2/1999	EPI_ISL_3692570	1999-02-25	Oceania / Australia / Victoria / Box Hill	Human	gisaid_meta_2010.xls
A/VICTORIA/209/2009	A/Victoria/209/2009	EPI_ISL_185174	2009-06-02	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/209/2009	A/Victoria/209/2009	EPI_ISL_33597	2009-06-02	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/265/2014	A/VICTORIA/265/2014	EPI_ISL_168937	2014-08-11	Oceania / Australia / Victoria / Glenroy	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/265/2014	A/Victoria/265/2014	EPI_ISL_175061	2014	Oceania / Australia	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/265/2014	A/Victoria/265/2014	EPI_ISL_219036	2014-08-11	Oceania / Australia / Victoria / Glenroy	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/265/2014	A/Victoria/265/2014	EPI_ISL_288186	2014-08-11	Oceania / Australia / Victoria	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/29/1992	A/Victoria/29/1992	EPI_ISL_14284888	1992-05-19	Oceania / Australia / Victoria / Melbourne	Human	gisaid_meta_2010.xls
A/VICTORIA/3/1975	A/Victoria/3/1975	EPI_ISL_1096	1975	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/3/1975	A/Victoria/3/1975	EPI_ISL_113968	1975	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/3/1975	A/Victoria/3/1975	EPI_ISL_123233	1975	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/3/1975	A/Victoria/3/1975	EPI_ISL_132394	1975-04	Oceania / Australia	Human	gisaid_meta_2010.xls
A/VICTORIA/3/1999	A/Victoria/3/1999	EPI_ISL_177748	1999	Oceania / Australia	Human	gisaid_meta_2010.xls
A/VICTORIA/3/1999	A/Victoria/3/1999	EPI_ISL_177749	1999	Oceania / Australia	Human	gisaid_meta_2010.xls
A/VICTORIA/3/1999	A/Victoria/3/1999	EPI_ISL_3663416	1999-04-21	Oceania / Australia / Victoria / St Albans	Human	gisaid_meta_2010.xls
A/VICTORIA/302/1998	A/Victoria/302/1998	EPI_ISL_3492401	1998-03-15	Oceania / Australia / Victoria / Parkville	Human	gisaid_meta_2010.xls
A/VICTORIA/302/2001	A/Victoria/302/2001	EPI_ISL_188158	2001-03-13	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/302/2001	A/Victoria/302/2001	EPI_ISL_5522582	2001-03-13	Oceania / Australia / Victoria / Flemington	Human	gisaid_meta_2010.xls
A/VICTORIA/309/1998	A/Victoria/309/1998	EPI_ISL_3492432	1998-05-22	Oceania / Australia / Victoria / Meadow Heights	Human	gisaid_meta_2010.xls
A/VICTORIA/312/1998	A/Victoria/312/1998	EPI_ISL_3492433	1998-05-24	Oceania / Australia / Victoria / West Heidleberg	Human	gisaid_meta_2010.xls
A/VICTORIA/314/1998	A/Victoria/314/1998	EPI_ISL_3492418	1998-05-25	Oceania / Australia / Victoria / Deer Park	Human	gisaid_meta_2010.xls
A/VICTORIA/315/1998	A/Victoria/315/1998	EPI_ISL_3492431	1998-05-25	Oceania / Australia / Victoria / Montmorency	Human	gisaid_meta_2010.xls
