analysis_id	analysis_label	model_family	cv_model_type	rmse_mean	rmse_std	mae_mean	mae_std	r2_mean	r2_std	spearman_mean	spearman_std	overall_accuracy	balanced_accuracy	notes
h3n2	Neher/Bedford data	site_state	site_state	2.058606134430897	0.2006701410405484	1.6024001331561262	0.1617487622702749	0.4718964663206256	0.0865821361730475	0.7075944004329846	0.0394948133594321			
h3n2	Neher/Bedford data	substitution	substitution_identity	2.127684637008578	0.193829342002371	1.6451134098749889	0.1682108073145752	0.4355408324612378	0.0895431023636622	0.6945705490124465	0.0330423541807437			
h3n2_patristic	Neher/Bedford data + patristic	site_state	site_state	2.053964153204928	0.2079043938483124	1.5972136975058242	0.1681603916421295	0.474097104072656	0.0898526473881117	0.7082400524983201	0.0404255660390159			
h3n2_patristic	Neher/Bedford data + patristic	substitution	substitution_identity	2.132452853347407	0.2064279190000126	1.6515213961047217	0.1716892348374304	0.4326067020224743	0.0964655321406506	0.6931725992645703	0.0381927392822068			
wic_full	WIC data	site_state	site_state_context	1.2136876005156192	0.0956961648532986	0.9228325430971884	0.0812226271506878	0.6545256567123117	0.0446677311905647	0.8220400091323572	0.0230538960520844			
wic_full	WIC data	substitution	substitution_identity_context	1.2495544884470058	0.0730521688183325	0.9471802033711276	0.0585480776686592	0.6340684747576604	0.0357458067421001	0.8110719326969086	0.0151945350324656			
wic_patristic	WIC data + patristic	site_state	site_state_context	1.2170078106192774	0.0978921080065803	0.9233910145963202	0.0836391393846099	0.6526470785787672	0.0455452670522361	0.8218808926393117	0.0245679831328352			
wic_patristic	WIC data + patristic	substitution	substitution_identity_context	1.2403407979895131	0.0686164566852379	0.942865697308884	0.0665701701431398	0.6396174822400675	0.0312061364013727	0.8144064681803584	0.0156399018931794			
wic_filtered	WIC filtered data	site_state	site_state_context	0.9747374100165632	0.0791852909393589	0.7413161547150436	0.0633585153423176	0.6509183678797743	0.0457940909681522	0.7896711542467775	0.0230039594119829			
wic_filtered	WIC filtered data	substitution	substitution_identity_context	0.9969470945578895	0.048464378326537	0.7528906528645811	0.0469103485001851	0.634748470159056	0.0335760955132215	0.7802957551016474	0.0213069294217733			
wic_filtered_patristic	WIC filtered data + patristic	site_state	site_state_context	0.9641452978671914	0.0651964280967596	0.734095861304359	0.0514142445220125	0.6582378124191935	0.0405565795393765	0.7948924549792906	0.0205813686990641			
wic_filtered_patristic	WIC filtered data + patristic	substitution	substitution_identity_context	0.9953708955308364	0.0389072980296442	0.7525593167709823	0.0395169592653785	0.6358361749030759	0.0312453638961863	0.7805437789314221	0.0201474435517988			
lightgbm_review	LightGBM review manuscript	passage_classifier	multiclass									0.81	0.77	Passage classification on 39,121 HA sequences.
lightgbm_review	LightGBM review manuscript	date_regression	regression			74.5		0.98						Date regression on 20,109 unpassaged HA sequences; MAE in days.
